ID,Direction,Time,HealthStatus
119,south,8,80
118,west,8,80
119,east,7,100
136,southeast,9,95
135,west,9,90
134,west,8,90
150,south,6,75
165,southwest,9,90
166,east,7,95
167,east,8,80
152,northeast,9,75
135,northwest,6,75
152,southeast,6,80
135,northwest,9,90
119,north,9,85
103,north,5,80
102,west,5,75
101,west,9,80
84,northwest,9,75
99,southwest,8,75
84,northeast,9,80
69,northeast,8,75
68,west,7,90
52,north,7,100
36,north,9,85
37,east,8,80
53,south,5,85
37,north,5,80
22,northeast,7,100
38,south,9,95
21,northwest,5,85
22,east,7,80
7,northeast,7,100
23,south,6,80
40,southeast,6,75
57,southeast,6,90
56,west,8,80
39,northwest,5,80
23,north,8,75
39,south,5,95
54,southwest,9,95
69,southwest,8,80
70,east,7,75
87,southeast,9,95
71,north,8,95
86,southwest,9,80
85,west,8,100
69,north,8,95
85,south,7,95
68,northwest,8,80
51,northwest,7,75
35,north,9,90
51,south,9,75
67,south,9,95
50,northwest,7,75
65,southwest,7,85
49,north,5,100
34,northeast,5,95
51,southeast,6,85
52,east,8,95
68,south,5,85
69,east,9,85
54,northeast,6,90
37,northwest,8,90
22,northeast,5,90
6,north,7,85
23,southeast,6,100
7,north,9,80
7,northeast,5,85
24,southeast,8,95
7,northwest,7,90
7,northwest,7,90
8,east,7,75
8,north,8,80
25,southeast,7,80
8,northwest,5,75
8,north,9,95
8,northwest,5,100
8,northeast,8,85
8,northeast,5,80
25,southeast,7,90
8,northwest,6,90
23,southwest,5,80
39,south,7,85
38,west,9,90
55,southeast,6,75
71,south,7,100
87,south,9,75
72,northeast,9,85
56,north,8,80
40,north,7,100
55,southwest,8,85
56,east,8,95
55,west,8,80
71,south,7,75
87,south,9,90
88,east,7,75
73,northeast,6,90
57,north,8,75
74,southeast,6,75
91,southeast,5,95
75,north,8,100
74,west,8,75
91,southeast,8,75
90,west,8,75
75,northeast,7,100
91,south,6,95
107,south,7,85
123,south,6,95
108,northeast,8,85
125,southeast,8,75
140,southwest,5,90
139,west,6,95
123,north,6,90
106,northwest,5,95
107,east,6,90
91,north,9,85
90,west,7,75
75,northeast,5,80
90,southwest,8,100
91,east,6,100
74,northwest,9,100
58,north,8,80
73,southwest,5,100
58,northeast,6,85
74,south,9,80
59,northeast,8,85
60,east,9,90
59,west,8,75
44,northeast,9,95
60,south,7,100
76,south,9,85
92,south,5,80
76,north,8,90
59,northwest,5,90
44,northeast,8,100
28,north,9,95
29,east,7,90
13,north,5,100
13,northwest,8,80
28,southwest,9,80
44,south,9,100
61,southeast,8,80
78,southeast,9,80
79,east,7,80
94,southwest,8,85
79,northeast,8,85
64,northeast,5,95
47,northwest,7,80
46,west,5,90
62,south,7,85
78,south,5,95
93,southwest,8,95
76,northwest,7,85
93,southeast,5,95
78,northeast,7,95
63,northeast,6,95
62,west,6,100
78,south,6,75
93,southwest,5,95
77,north,6,95
61,north,5,90
78,southeast,5,100
95,southeast,8,90
94,west,9,80
111,southeast,7,100
96,northeast,9,95
95,west,6,90
79,north,5,85
63,north,5,90
62,west,7,90
79,southeast,7,90
78,west,8,75
94,south,5,75
78,north,9,100
95,southeast,5,75
78,northwest,9,100
94,south,5,75
95,east,8,80
80,northeast,9,75
96,south,6,95
79,northwest,6,75
63,north,8,75
78,southwest,5,85
77,west,6,100
60,northwest,9,90
61,east,6,100
76,southwest,8,90
75,west,6,90
91,south,8,90
74,northwest,5,80
91,southeast,9,75
90,west,6,85
73,northwest,5,75
57,north,7,95
73,south,9,85
90,southeast,9,75
73,northwest,6,90
90,southeast,6,95
89,west,6,95
