Outcome,Decision1,Decision2,Decision3,Decision4,Decision5
-1,9,6,7,0,0
-1,3,1,6,0,0
-1,4,1,8,9,0
-1,5,7,1,0,0
-1,5,9,1,0,0
-1,5,2,0,0,0
-1,2,7,9,8,0
-1,6,9,3,0,0
-1,3,4,7,0,0
-1,5,6,4,0,0
-1,5,3,7,0,0
-1,5,6,4,0,0
-1,5,6,4,0,0
-1,5,7,3,0,0
-1,5,3,7,0,0
-1,5,6,4,0,0
-1,5,3,7,0,0
-1,5,3,7,0,0
-1,5,1,3,7,0
-1,7,8,1,4,0
-1,7,9,4,1,0
-1,3,1,2,0,0
-1,5,1,3,2,0
-1,1,8,6,0,0
0,5,8,3,4,0
0,5,2,4,9,0
0,2,0,0,0,0
0,5,2,4,9,0
0,4,8,1,3,0
0,7,1,6,8,0
0,5,4,2,9,0
0,9,2,7,4,0
0,3,8,9,4,0
0,5,3,4,9,0
0,5,3,4,9,0
0,5,3,4,9,0
0,5,3,4,9,0
0,5,1,6,7,0
0,9,8,3,4,0
0,7,1,6,8,0
0,1,8,3,4,0
0,1,6,7,2,0
0,7,2,6,9,0
0,7,2,1,6,0
0,7,2,6,9,0
0,4,3,9,8,0
0,9,4,3,5,0
0,5,2,4,9,0
0,5,4,8,3,0
0,9,3,4,8,0
0,9,8,3,4,0
0,5,8,6,1,0
0,5,8,1,6,0
0,7,9,2,4,0
0,5,2,7,6,0
0,9,8,3,4,0
0,9,8,3,4,0
0,5,8,1,6,0
0,5,7,6,1,0
0,7,6,1,8,0
0,9,3,4,8,0
0,1,3,8,6,0
0,3,2,9,4,0
0,5,4,2,9,0
0,5,1,6,8,0
0,5,9,2,4,0
0,5,9,3,4,0
0,5,1,6,8,0
1,5,8,3,7,0
1,5,1,9,0,0
1,7,9,8,0,0
1,2,9,0,0,0
1,5,4,6,0,0
1,6,9,8,0,0
1,9,7,6,0,0
1,4,2,0,0,0
1,2,7,8,0,0
1,5,9,3,8,0
1,6,8,3,0,0
1,7,9,4,8,0
1,9,5,4,7,0
1,1,7,9,0,0
1,3,7,9,0,0
1,9,4,0,0,0
1,5,4,0,0,0
1,6,1,7,9,0
1,7,1,6,9,0
1,3,6,0,0,0
1,3,6,0,0,0
1,3,1,4,0,0
1,1,4,0,0,0
1,1,7,0,0,0
1,1,3,2,0,0
1,3,1,6,9,0
1,9,7,5,0,0
1,2,8,0,0,0
1,5,1,3,7,0
1,5,7,9,1,0
1,9,7,5,4,0
1,8,5,6,0,0
