ID,Direction,Time,HealthStatus
118,southwest,9,85
117,west,8,80
116,west,5,85
101,northeast,7,80
118,southeast,7,90
101,northwest,5,100
118,southeast,9,95
134,south,9,100
117,northwest,6,100
134,southeast,6,85
135,east,8,85
118,northwest,8,85
101,northwest,9,95
84,northwest,7,90
85,east,6,80
84,west,7,75
83,west,7,80
99,south,6,95
116,southeast,5,90
117,east,5,75
132,southwest,6,95
117,northeast,5,80
133,south,5,85
148,southwest,9,75
149,east,7,95
133,north,7,75
132,west,5,75
149,southeast,9,95
166,southeast,9,75
165,west,9,80
166,east,7,90
182,south,7,90
167,northeast,7,75
183,south,6,100
168,northeast,9,90
184,south,7,85
167,northwest,9,75
182,southwest,8,100
197,southwest,7,90
196,west,6,80
211,southwest,5,75
210,west,5,100
194,north,7,75
209,southwest,9,90
209,southwest,6,85
193,north,8,100
177,north,9,100
160,northwest,5,90
160,west,6,75
160,northwest,6,80
144,north,6,75
145,east,7,95
128,northwest,7,95
145,southeast,7,75
145,southwest,9,80
161,south,8,85
144,northwest,8,90
144,southwest,9,100
145,east,5,90
145,west,8,100
130,northeast,5,90
114,north,7,85
115,east,8,95
114,west,6,100
99,northeast,8,100
116,southeast,7,100
131,southwest,8,80
148,southeast,7,80
132,north,8,100
133,east,9,80
116,northwest,7,95
115,west,9,90
131,south,9,100
115,north,8,85
132,southeast,9,80
147,southwest,7,85
130,northwest,6,95
147,southeast,6,75
163,south,5,75
180,southeast,9,100
164,north,5,75
180,south,7,90
165,northeast,9,95
149,north,5,95
148,west,9,90
132,north,7,90
148,south,8,90
147,west,9,95
146,west,7,90
130,north,8,95
129,west,8,95
113,north,6,100
96,northwest,9,80
96,northwest,8,80
81,northeast,5,90
81,west,9,90
81,west,5,100
97,south,7,90
81,north,6,85
64,northwest,6,85
65,east,5,95
49,north,9,85
32,northwest,8,100
33,east,6,95
16,northwest,7,80
32,south,9,75
48,south,6,95
64,south,9,90
80,south,9,95
96,south,8,85
96,northwest,5,75
96,northwest,7,80
112,south,6,95
128,south,6,100
128,west,7,75
144,south,8,100
145,east,9,85
145,southwest,5,95
129,north,6,95
146,southeast,6,85
147,east,7,100
146,west,6,95
129,northwest,6,90
113,north,6,95
98,northeast,5,85
113,southwest,6,100
129,south,5,80
145,south,9,85
129,north,9,80
114,northeast,7,85
131,southeast,8,95
114,northwest,8,95
115,east,9,80
100,northeast,5,75
116,south,5,75
132,south,9,100
148,south,6,85
133,northeast,9,100
132,west,5,85
149,southeast,6,90
150,east,6,80
133,northwest,6,75
118,northeast,8,85
133,southwest,8,95
149,south,8,90
165,south,6,85
164,west,6,90
180,south,9,90
181,east,7,90
182,east,9,75
165,northwest,6,90
148,northwest,6,80
132,north,5,85
133,east,5,80
118,northeast,7,85
133,southwest,7,95
132,west,7,75
149,southeast,7,75
165,south,6,75
181,south,9,80
180,west,9,100
196,south,6,75
195,west,9,75
180,northeast,5,100
165,northeast,7,95
150,northeast,6,85
151,east,7,90
136,northeast,9,100
119,northwest,5,100
135,south,9,85
118,northwest,9,85
133,southwest,8,80
150,southeast,5,100
166,south,5,95
167,east,6,95
182,southwest,9,95
183,east,5,85
199,south,9,75
200,east,8,100
183,northwest,7,75
200,southeast,6,90
199,west,7,95
214,southwest,8,85
230,south,9,85
246,south,9,100
230,north,9,95
247,southeast,7,95
248,east,5,80
231,northwest,9,80
214,northwest,5,100
213,west,7,80
214,east,6,100
229,southwest,9,100
213,north,8,90
228,southwest,6,100
211,northwest,5,75
227,south,8,95
212,northeast,9,100
227,southwest,7,90
210,northwest,8,95
