Outcome,Decision1,Decision2,Decision3,Decision4,Decision5
1,5,1,6,8,2
1,5,1,6,8,4
1,5,1,8,6,4
1,5,1,8,2,0
1,5,1,6,4,0
1,5,1,9,0,0
1,5,1,7,0,0
1,5,1,6,0,0
1,5,1,3,0,0
1,5,1,2,0,0
1,5,1,9,0,0
1,5,1,9,0,0
0,5,1,8,6,3
0,5,1,6,8,7
0,5,1,6,8,7
0,5,1,6,8,7
0,5,1,8,6,3
0,5,1,6,2,7
0,5,1,6,2,7
0,5,1,8,6,3
0,5,1,8,3,6
0,5,1,6,7,8
0,5,1,8,6,3
0,5,1,8,4,3
0,5,1,6,8,7
0,5,1,6,8,7
0,5,1,6,2,7
0,5,1,8,6,3
0,5,1,6,8,7
0,5,1,6,2,7
0,5,1,8,6,3
0,5,1,8,6,3
0,5,1,8,6,3
0,5,1,8,3,6
0,5,1,6,8,7
0,5,1,8,6,3
0,5,1,6,8,7
0,5,1,6,8,7
0,5,1,6,8,7
0,5,1,8,3,4
0,5,1,6,7,2
0,5,1,6,2,7
0,5,1,6,7,8
0,5,1,6,2,7
0,5,1,8,6,3
-1,5,1,7,3,0
-1,5,1,7,3,0
-1,5,1,3,2,0
-1,5,1,8,2,0
-1,5,1,3,7,0
-1,5,1,8,2,0
-1,5,1,9,0,0
-1,5,1,9,0,0
-1,5,1,9,0,0
-1,5,1,7,0,0
-1,5,1,6,0,0
-1,5,1,8,0,0
-1,5,1,8,0,0
-1,5,1,6,0,0
-1,5,1,6,0,0
-1,5,1,6,0,0
-1,5,1,8,0,0
-1,5,1,6,0,0
-1,5,1,9,0,0
-1,5,1,9,0,0
