ID,Direction,Time,HealthStatus
247,west,6,80
231,north,9,90
216,northeast,5,75
231,southwest,7,90
248,southeast,9,90
232,north,7,85
216,north,6,95
200,north,7,95
217,southeast,7,95
201,north,8,90
202,east,9,100
201,west,6,90
216,southwest,9,85
232,south,7,95
231,west,6,90
215,north,6,100
214,west,7,80
198,north,5,80
199,east,7,90
183,north,6,80
199,south,8,95
183,north,7,100
166,northwest,7,95
150,north,7,95
133,northwest,9,80
117,north,8,100
101,north,6,100
86,northeast,9,85
70,north,5,90
54,north,6,90
53,west,8,80
37,north,7,100
21,north,8,90
5,north,7,75
5,north,6,85
5,north,9,90
5,north,6,100
4,west,5,90
4,north,8,95
4,north,7,95
5,east,6,75
4,west,6,75
4,north,7,75
4,northeast,5,100
4,north,7,90
4,north,8,80
20,south,9,85
37,southeast,6,80
21,north,5,95
5,north,6,85
21,south,9,95
36,southwest,6,75
20,north,9,85
36,south,9,95
52,south,9,80
51,west,8,90
35,north,5,90
34,west,7,95
18,north,8,100
35,southeast,7,85
52,southeast,5,95
35,northwest,8,80
20,northeast,7,80
4,north,7,100
19,southwest,7,90
35,south,7,90
19,north,9,75
36,southeast,8,80
21,northeast,7,95
5,north,7,90
5,north,6,100
5,north,7,85
5,northeast,8,85
6,east,7,85
23,southeast,5,100
40,southeast,8,95
24,north,9,85
39,southwest,6,75
55,south,8,90
72,southeast,7,95
56,north,6,85
71,southwest,8,90
86,southwest,9,90
70,north,6,75
69,west,6,95
84,southwest,7,85
68,north,6,95
83,southwest,8,80
99,south,7,75
116,southeast,6,85
100,north,9,90
84,north,9,95
99,southwest,6,85
84,northeast,6,80
67,northwest,5,95
51,north,9,95
35,north,6,95
36,east,8,80
37,east,6,100
38,east,6,85
