ID,Direction,Time,HealthStatus
24,south,6,90
40,south,9,100
57,southeast,7,100
73,south,8,80
89,south,5,80
105,south,7,75
121,south,8,90
106,northeast,9,95
122,south,6,100
106,north,8,100
90,north,8,85
74,north,5,75
59,northeast,6,100
75,south,8,100
59,north,8,85
75,south,8,100
59,north,9,95
43,north,5,100
28,northeast,5,90
44,south,9,95
60,south,6,95
76,south,7,90
75,west,7,80
59,north,8,100
75,south,9,80
91,south,9,95
107,south,9,85
106,west,5,90
123,southeast,8,100
122,west,8,90
138,south,6,75
154,south,6,85
171,southeast,7,85
187,south,8,95
204,southeast,9,95
220,south,5,80
236,south,5,75
252,south,6,85
235,northwest,8,95
218,northwest,6,95
234,south,7,90
235,east,5,100
234,west,8,75
233,west,5,80
249,south,6,85
248,west,7,95
248,southwest,6,75
248,south,9,80
248,south,5,90
248,south,8,75
248,south,7,80
248,south,5,75
248,south,8,80
248,south,6,80
248,southwest,5,100
249,east,9,75
248,west,7,80
248,south,5,85
247,west,5,85
247,south,7,90
231,north,5,85
246,southwest,5,80
247,east,7,75
231,north,8,80
232,east,6,90
247,southwest,5,80
246,west,8,75
246,south,7,80
231,northeast,7,85
214,northwest,7,80
230,south,6,85
213,northwest,8,80
196,northwest,5,75
211,southwest,5,100
227,south,6,75
243,south,9,95
242,west,8,80
227,northeast,8,75
211,north,6,90
194,northwest,9,80
210,south,8,85
226,south,7,90
243,southeast,8,85
243,south,7,95
243,south,5,85
242,west,7,90
242,south,8,80
226,north,9,90
242,south,9,95
227,northeast,8,85
242,southwest,9,100
242,south,8,95
242,south,7,90
226,north,5,85
243,southeast,5,95
228,northeast,7,75
244,south,7,90
244,southeast,7,95
244,south,5,95
229,northeast,6,85
