ID,Direction,Time,HealthStatus
248,south,8,75
231,northwest,5,80
216,northeast,5,90
231,southwest,8,75
216,northeast,5,90
199,northwest,6,90
183,north,9,90
199,south,7,80
183,north,9,90
168,northeast,8,95
151,northwest,9,75
167,south,6,100
166,west,7,95
167,east,5,85
150,northwest,6,85
166,south,9,75
149,northwest,5,90
133,north,9,100
117,north,9,85
118,east,7,100
119,east,6,100
118,west,5,75
135,southeast,9,90
120,northeast,5,75
135,southwest,7,100
119,north,7,90
103,north,6,80
104,east,7,90
88,north,7,75
71,northwest,6,80
55,north,8,95
56,east,9,100
73,southeast,6,85
57,north,7,100
42,northeast,8,75
59,southeast,8,80
44,northeast,5,90
61,southeast,8,85
78,southeast,7,85
77,west,8,95
60,northwest,6,95
77,southeast,6,90
94,southeast,8,80
78,north,9,90
61,northwest,5,80
62,east,8,80
61,west,9,90
46,northeast,9,95
30,north,8,90
14,north,6,80
