SubjectID,TrialCount,GameBoardID,HomeBaseX,HomeBaseY,GameStartTime,DestinationX,DestinationY,DecisionCode,CurrentX,CurrentY,GameCurrentTime,HealthStatus,FuelStatus,ArmorStatus,AmmunitionStatus,DecisionCode,CurrentX,CurrentY,GameCurrentTime,HealthStatus,FuelStatus,ArmorStatus,AmmunitionStatus,DecisionCode,CurrentX,CurrentY,GameCurrentTime,HealthStatus,FuelStatus,ArmorStatus,AmmunitionStatus,DecisionCode,CurrentX,CurrentY,GameCurrentTime,HealthStatus,FuelStatus,ArmorStatus,AmmunitionStatus,DecisionCode,CurrentX,CurrentY,GameCurrentTime,HealthStatus,FuelStatus,ArmorStatus,AmmunitionStatus,DecisionCode,CurrentX,CurrentY,GameCurrentTime,HealthStatus,FuelStatus,ArmorStatus,AmmunitionStatus,DecisionCode,CurrentX,CurrentY,GameCurrentTime,HealthStatus,FuelStatus,ArmorStatus,AmmunitionStatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,0,0,0,200,40,MoveIncrY,0,0,0,100,50,100,1000,MoveIncrX,0,40,80,99,48,100,1000,CrossBridge,60,40,200,98,45,100,1000,EngageEnemy,80,40,240,98,44,100,1000,MoveIncrX,80,40,360,80,44,78,650,MoveIncrX,140,40,480,90,41,78,650,MoveIncrX,180,40,540,91,37,78,650,ReachGoal,200,40,600,92,35,78,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,1,0,0,0,200,40,MoveIncrY,0,0,0,100,50,100,1000,MoveIncrX,0,80,160,98,46,100,1000,FordRiver,60,80,280,96,43,100,1000,MoveIncrX,80,80,360,90,35,90,950,MoveIncrX,140,80,480,78,32,90,950,MoveDecrY,180,80,560,77,31,90,950,MoveIncrX,180,40,600,78,30,90,950,ReachGoal,200,40,640,79,29,90,950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,1,0,0,0,200,40,MoveIncrY,0,0,0,100,50,100,1000,MoveIncrX,0,80,160,98,46,100,1000,FordRiver,60,80,280,96,43,100,1000,MoveIncrX,80,80,360,90,35,90,950,MoveDecrY,140,80,480,78,32,90,950,MoveIncrX,140,40,580,77,30,90,950,MoveIncrX,180,40,680,78,30,90,950,ReachGoal,200,40,740,79,29,90,950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,1,0,0,0,200,40,MoveIncrY,0,0,0,100,50,100,1000,MoveIncrX,0,80,160,98,46,100,1000,FordRiver,60,80,280,96,43,100,1000,MoveIncrX,80,80,360,90,35,90,950,MoveIncrY,140,80,480,78,32,90,950,MoveIncrX,140,120,540,77,31,90,950,MoveDecrY,180,120,600,76,30,90,950,MoveDecrY,180,80,640,77,28,90,950,MoveIncrX,180,40,680,77,26,90,950,ReachGoal,200,40,720,77,26,90,950,,,,,,,,,,,,,,,,
1,5,1,0,0,0,200,40,MoveIncrY,0,0,0,100,50,100,1000,MoveIncrY,0,40,80,99,48,100,1000,MoveIncrY,0,80,160,98,46,100,1000,MoveIncrX,0,120,240,97,44,100,1000,CrossBridge,60,120,360,96,40,100,1000,MoveIncrX,80,120,400,95,40,100,1000,MoveIncrX,140,120,520,93,34,100,1000,MoveDecrY,180,120,600,91,30,100,1000,MoveDecrY,180,80,680,89,26,100,1000,MoveIncrX,180,40,760,90,22,100,1000,ReachGoal,200,40,840,90,18,100,1000,,,,,,,,
2,1,1,0,0,0,200,40,MoveIncrY,0,0,0,100,50,100,1000,MoveIncrY,0,40,80,99,48,100,1000,MoveIncrY,0,80,160,98,46,100,1000,MoveIncrX,0,120,240,97,44,100,1000,CrossBridge,60,120,360,96,40,100,1000,MoveIncrX,80,120,400,95,40,100,1000,MoveDecrY,140,120,520,93,34,100,1000,MoveIncrX,140,80,600,91,30,100,1000,MoveDecrY,180,80,680,89,26,100,1000,MoveIncrX,180,40,760,90,22,100,1000,ReachGoal,200,40,840,90,18,100,1000,,,,,,,,
2,2,1,0,0,0,200,40,MoveIncrY,0,0,0,100,50,100,1000,MoveIncrY,0,40,80,99,48,100,1000,MoveIncrY,0,80,160,98,46,100,1000,MoveIncrX,0,120,240,97,44,100,1000,CrossBridge,60,120,360,96,40,100,1000,MoveIncrX,80,120,400,95,40,100,1000,MoveDecrY,140,120,520,93,34,100,1000,MoveDecrY,140,80,600,91,30,100,1000,MoveIncrX,140,40,680,88,22,100,1000,MoveIncrX,180,40,760,90,18,100,1000,ReachGoal,200,40,840,90,14,100,1000,,,,,,,,
2,3,1,0,0,0,200,40,MoveIncrY,0,0,0,100,50,100,1000,MoveIncrX,0,80,160,98,46,100,1000,MoveDecrX,60,80,280,97,44,100,1000,MoveIncrY,0,80,400,96,40,100,1000,MoveIncrX,0,120,400,95,36,100,1000,CrossBridge,60,120,520,94,32,100,1000,MoveIncrX,80,120,560,93,30,100,1000,MoveIncrX,140,120,680,91,24,100,1000,MoveDecrY,180,120,760,88,20,100,1000,MoveDecrY,180,80,840,87,16,100,1000,MoveIncrX,180,40,920,87,12,100,1000,ReachGoal,200,40,1000,88,18,100,1000
2,4,1,0,0,0,200,40,MoveIncrY,0,0,0,100,50,100,1000,MoveIncrX,0,80,160,98,46,100,1000,MoveDecrX,60,80,280,97,44,100,1000,MoveIncrY,0,80,400,96,40,100,1000,MoveIncrX,0,120,400,95,36,100,1000,CrossBridge,60,120,520,94,32,100,1000,MoveIncrX,80,120,560,93,30,100,1000,MoveDecrY,140,120,680,91,24,100,1000,MoveIncrX,140,80,760,88,20,100,1000,MoveDecrY,180,80,840,87,16,100,1000,MoveIncrX,180,40,920,87,12,100,1000,ReachGoal,200,40,1000,88,8,100,1000
2,5,1,0,0,0,200,40,MoveIncrY,0,0,0,100,50,100,1000,MoveIncrX,0,80,160,98,46,100,1000,MoveDecrX,60,80,280,97,44,100,1000,MoveIncrY,0,80,400,96,40,100,1000,MoveIncrX,0,120,400,95,36,100,1000,CrossBridge,60,120,520,94,32,100,1000,MoveIncrX,80,120,560,93,30,100,1000,MoveDecrY,140,120,680,91,24,100,1000,MoveDecrY,140,80,760,88,20,100,1000,MoveIncrX,140,40,840,86,12,100,1000,MoveIncrX,180,40,920,87,8,100,1000,LostGame,180,40,1000,88,8,100,1000
