SubjID,Decision1,Decision2,Decision3,HealthStatus,Bias
1,4,1,2,90,1
2,2,3,5,90,0
3,2,3,3,90,1
4,2,1,4,75,1
5,0,5,2,80,1
6,3,1,5,95,1
7,5,4,1,85,1
8,2,0,2,80,0
9,0,3,2,80,1
10,3,3,4,90,1
11,3,4,0,80,1
12,0,5,2,75,0
13,0,2,4,75,1
14,2,5,2,80,0
15,2,1,4,100,1
16,0,0,5,90,0
17,5,3,0,75,1
18,5,0,5,95,1
19,4,4,2,95,0
20,3,1,5,100,1
21,4,4,3,75,1
22,0,0,3,75,0
23,0,0,3,95,1
24,2,2,5,80,1
25,2,3,1,90,1
26,1,1,3,100,0
27,2,4,3,90,0
28,3,3,5,85,1
29,3,4,0,85,1
30,0,1,5,95,0
31,5,4,5,75,0
32,3,0,4,80,0
33,5,5,1,80,1
34,0,4,1,75,1
35,4,4,2,85,0
36,0,2,2,90,1
37,5,2,0,100,1
38,0,4,1,85,0
39,4,5,5,85,0
40,4,1,4,95,0
41,1,5,1,90,1
42,5,3,1,100,0
43,3,0,1,90,1
44,3,3,4,80,0
45,3,4,4,100,0
46,3,3,2,80,1
47,5,3,2,75,1
48,1,1,3,85,1
49,0,3,3,80,1
50,5,5,2,75,1
51,0,0,4,75,0
52,1,4,0,95,1
53,4,0,5,80,1
54,2,3,4,75,0
55,4,3,1,100,0
56,3,0,0,85,1
57,0,1,3,85,1
58,0,2,0,85,1
59,3,4,5,80,1
60,3,2,4,100,1
