SubjID,Decision1,Decision2,Decision3,Decision4,Decision5,HealthStatus,Bias
1,2,2,1,2,3,75,1
2,4,2,5,3,3,80,0
3,5,3,2,4,5,85,1
4,4,3,5,3,4,80,0
5,5,1,4,3,5,85,1
6,3,4,2,4,5,80,0
7,1,4,4,3,4,75,1
8,0,3,4,4,5,80,0
9,5,2,0,2,2,80,1
10,1,1,1,5,4,80,0
11,5,3,5,0,5,90,1
12,0,4,4,2,2,75,0
13,5,4,0,2,5,85,1
14,2,3,2,3,2,75,0
15,3,3,1,1,4,75,1
16,0,5,3,2,1,80,0
17,0,2,2,5,1,80,1
18,4,3,3,5,4,80,0
19,1,3,2,2,5,80,1
20,4,3,4,5,2,80,0
21,5,5,1,3,3,85,1
22,2,1,1,2,0,75,0
23,3,1,4,4,0,75,1
24,4,5,3,2,4,80,0
25,1,5,4,0,1,80,1
26,3,3,5,4,2,80,0
27,0,5,0,3,0,80,1
28,5,0,2,3,4,80,0
29,4,0,1,2,4,75,1
30,4,0,0,3,1,75,0
31,1,5,0,0,0,80,1
32,2,1,0,5,5,85,0
33,4,3,5,1,4,80,1
34,3,4,5,4,1,80,0
35,0,0,3,1,4,75,1
36,2,3,1,5,1,80,0
37,4,4,4,0,0,75,1
38,3,4,2,0,3,75,0
39,1,3,4,3,3,75,1
40,4,5,1,0,2,80,0
41,0,2,5,2,5,85,1
42,0,3,2,0,5,80,0
43,5,5,2,4,4,85,1
44,2,3,0,4,5,80,0
45,3,1,4,3,1,75,1
46,1,5,0,4,4,80,0
47,5,1,2,5,3,85,1
48,3,0,4,0,0,75,0
49,1,4,1,3,0,75,1
50,2,0,5,3,1,80,0
51,2,2,2,5,0,80,1
52,0,4,1,0,3,75,0
53,2,0,1,2,1,75,1
54,0,4,4,5,2,80,0
55,2,2,2,1,2,75,1
56,5,2,0,0,0,80,0
57,0,1,2,5,1,80,1
58,4,3,4,4,2,75,0
59,2,5,0,3,0,80,1
60,1,0,2,5,3,80,0
61,4,4,2,2,3,75,1
62,4,0,2,5,1,80,0
63,3,5,5,5,1,90,1
64,0,1,4,1,3,75,0
65,1,3,4,4,3,75,1
66,5,2,4,3,0,80,0
67,0,1,2,2,5,80,1
68,0,3,5,0,5,85,0
69,4,1,1,1,3,75,1
70,2,1,3,2,4,75,0
71,3,2,0,4,3,75,1
72,3,0,4,5,3,80,0
73,2,2,5,3,0,80,1
74,2,1,0,0,4,75,0
75,5,5,3,3,0,85,1
76,0,2,5,4,2,80,0
77,0,3,3,0,0,75,1
78,0,1,4,2,1,75,0
79,5,0,1,4,2,80,1
80,0,2,0,1,3,75,0
81,5,5,2,5,1,90,1
82,4,5,1,1,3,80,0
83,3,4,2,0,3,75,1
84,2,0,2,2,3,75,0
85,0,5,0,4,5,85,1
86,1,2,1,3,1,75,0
87,0,0,2,5,1,80,1
