SubjID,Decision1,Bias1,Decision2,Bias2,Decision3,Bias3,HealthStatus
1,0,1,5,1,2,1,85
2,3,1,3,1,0,1,75
3,1,0,5,0,1,0,95
4,4,0,4,1,5,1,80
5,4,0,2,1,1,1,95
6,0,1,2,1,1,1,100
7,0,0,2,0,3,0,95
8,0,0,0,1,0,1,85
9,3,0,0,1,5,1,85
10,3,1,2,1,0,1,80
11,4,1,3,0,5,0,95
12,4,1,2,0,5,0,90
13,3,1,4,1,5,1,90
14,2,0,5,1,0,1,85
15,2,1,0,0,2,0,90
16,2,1,2,0,1,0,95
17,1,0,4,1,2,1,75
18,1,1,1,1,2,1,80
19,5,0,2,0,2,0,85
20,0,1,2,1,3,1,100
21,0,1,1,1,2,1,90
22,1,0,1,1,5,1,95
23,1,0,5,0,2,0,95
24,2,0,0,0,3,0,90
25,0,0,5,1,4,1,75
26,0,1,1,1,5,1,90
27,1,0,1,1,3,1,85
28,3,1,3,0,4,0,85
29,1,0,2,0,0,0,100
30,0,1,1,1,3,1,100
31,5,1,1,0,0,0,80
32,1,1,3,0,5,0,100
33,5,0,4,1,0,1,80
34,3,1,5,0,1,0,80
35,0,1,0,0,1,0,85
36,0,0,2,1,1,1,85
37,0,1,4,1,0,1,90
38,0,0,5,0,5,0,75
39,1,0,1,1,5,1,80
40,4,1,0,1,4,1,80
41,0,1,3,1,2,1,85
42,1,0,0,0,4,0,100
43,4,1,5,1,5,1,85
44,1,0,0,1,0,1,100
45,5,0,1,0,3,0,100
46,1,0,3,1,4,1,85
47,2,0,5,0,1,0,90
48,2,1,0,0,5,0,95
49,1,0,1,0,1,0,100
50,1,1,0,1,1,1,80
51,0,0,4,1,3,1,100
52,2,1,1,0,2,0,75
53,3,0,2,0,1,0,80
54,1,1,3,1,5,1,85
55,5,1,5,1,1,1,95
56,5,0,5,1,2,1,85
57,1,0,1,1,5,1,80
58,5,1,4,1,4,1,85
59,1,1,5,0,4,0,90
60,5,0,0,1,2,1,85
61,2,0,0,0,3,0,85
